spotify_id,name,artists,album_name,album_release_date,days_in_top50,lyrics
3EaJDYHA0KnX88JvDhL9oa,Dark Red,Steve Lacy,Dark Red,2017-02-20,26,"[Verse 1]
Something bad is 'bout to happen to me
I don't know what, but I feel it coming
Might be so sad, might leave my nose running
I just hope she don't wanna leave me (Babe)

[Chorus]
Don't you give me up, please don't give up
On me, I belong, with you, and only you, babe
Only you, my girl, only you, babe
Only you, darling, only you, babe
Only you, my girl, only you, babe
Only you, darling, only you

[Verse 2]
Something bad is 'bout to happen to me
Why I feel this way? I don't know, maybe
I think of her so much, it drives me crazy
I just don't want her to leave me (Babe)

[Chorus]
Don't you give me up, please don't give up
On me, I belong with you, and only you, babe
Only you, my girl, only you, babe
Only you, darling, only you, babe
Only you, my girl, only you, babe
Only you, darling, only you

[Bridge]
What if she's fine?
It's my mind that's wrong
And I just let bad thoughts
Linger for far too long
What if (If) she’s fine? (Fine)
It’s my mind that’s wrong
And I just (Just) let bad thoughts (Thoughts)
Linger for far too long

[Chorus]
Don't you give me up, please don't give up
On me, I belong, with you, only you, babe
Only you, my girl, only you, babe
Only you, darling, only you, babe
Only you, my girl, only you, babe
Only you, darling, only you"
6rjuKpPydT2SxN15TZpV7r,500lbs,Lil Tecca,TEC,2023-09-22,163,"[Intro]
Uh
Uh-uh, uh (Blatt)
Uh-uh, uh
Uh-uh, uh (Uh)
Uh-uh, uh (Uh)
Uh-uh, uh
Uh-uh, uh

[Chorus]
Yeah, not livin' enough, ayy
This blunt, I'm takin' a puff, ayy
I'm startin' to feel like it's us, ayy
No trust, so do as you must (Yeah), for real
Don't know when I stay out of town
I get dough when I stay out of town
Five hundred chops, I got five hundred rounds
Five hundred plots, I got five hundred pounds, yeah

[Post-Chorus]
I'm trustin' nothin' I'm told, honestly
I'm trustin' half what I'm shown
I don't pop out, but it's each to they own
My bitch, she hate when I be on my phone
Think she forgot, I got me on my phone
Not safe for me to forget that I'm known
Argue 'bout bullshit, know that you grown
Don't know the only reason I condone it

[Verse]
I know how it works, I know you a flirt
She send me the flick, tagged not safe for work
Don't get your feelings hurt while tryna lurk
My bitch want Chanel, then shit, grab a purse (Damn)
She told me she bad, I say, ""You could do worse""
I'm born to be blessed, I live with a curse
When shit is a mess, I'm rollin' up first
I smoke on my blunt, then I hit the church
'Cause nobody get where you comin' from
You know how it get when you goin' numb
You know what we on, matter how you judged
Dealin' with bullshit, out of love
My life a story, it's not a punch-in
My life a party, it's not a function
I never needed no introduction
Know I'm a star, I'm still adjustin' (Yeah)

[Bridge]
And I can't go out like that
You know that's why I'm clutchin'
And I see it, why they overreact
But all this shit ain't nothin'
Told me you gon' send the bread you owe me
Talkin' like you got an option
She said, ""It's like you don't know you a star""
I tell her that I'm still adjustin' (Uh-huh)

[Chorus]
Yeah, not livin' enough, ayy
This blunt, I'm takin' a puff, ayy
I'm startin' to feel like it's us, ayy
No trust, so do as you must, for real
Don't know when I stay out of town (For real)
I get dough when I stay out of town
Five hundred chops, I got five hundred rounds
Five hundred plots, I got five hundred pounds, yeah

[Post-Chorus]
I'm trustin' nothin' I'm told, honestly
I'm trustin' half what I'm shown
I don't pop out, but it's each to they own
My bitch, she hate when I be on my phone (Damn)
Think she forgot, I got me on my phone
Not safe for me to forget that I'm known
Argue 'bout bullshit, know that you grown
Don't know the only reason I condone it

[Outro]
Uh-uh, uh
Uh-uh, uh
Uh-uh, uh
Uh-uh, uh
Uh-uh
Uh-uh, uh
Uh-uh
Uh-uh, uh"
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",For All The Dogs,2023-10-06,130,"[Part I]

[Intro: Jessica Domingo]
Is it all
I could be enough
Is it all
I could be enough
Is it

[Chorus: Sexyy Red]
Bend that ass over (Baow), let that coochie breathe (Yeah)
Shake that ass, bitch, hands on your knees (Ho)
Hands on your knees (Ho), hands on your knees (Now)
Shake that ass for Drake (Yup), now shake that ass for me
Bend that ass over (Baow), let that coochie breathe (Yeah)
Shake that ass, bitch, hands on your knees
Hands on your knees, hands on your knees
Shake that ass for Drake (Yeah), now shake that ass for me

[Verse 1: Drake]
Ayy, I still got some love deep inside of me
No need to lie to me, I know you got a guy
He's not a guy to me
Just say goodbye to him, then take the ride to mе, ride to me
I still got some lovе deep inside of me
Please drag it out of me
You just might
Just might get that G-Wagon out of me
Please drag it out of me, please drag it out
Rollie gang, patty gang, rich baby daddy gang
I'm with Red like I'm at a Cincinnati game
Hood bitch, tat her gang 'fore she tat her name
Real bitch, held me down 'fore I had a name
Heard there's money on my head, what is that to me?
I put a hundred bands on him, he put a rack on me
We from two different worlds, but it's a match to me
The bend it over only time she turn her back on me (For real)

[Chorus: Sexyy Red]
Bend that ass over (Baow), let that coochie breathe (Yeah)
Shake that ass, bitch, hands on your knees (Ho)
Hands on your knees (Ho), hands on your knees (Now)
Shake that ass for Drake (Yup), now shake that ass for me
Bend that ass over (Baow), let that coochie breathe (Yeah)
Shake that ass, bitch, hands on your knees
Hands on your knees, hands on your knees
Shake that ass for Drake (Yeah), now shake that ass for me

[Verse 2: SZA]
You been so good and you deserve to end your suffering
I need good dick and conversation, can you comfort me?
I got a feeling this is more than what we both say
I got a feeling this is more than feelings
I can't let you get away
Feels good, but it can't be love
Ain't a damn thing that I'd do
Ain't a damn thing, oh

[Chorus: Sexyy Red & SZA]
Bend that ass over (Oh), let that coochie breathe (Oh)
Shake that ass, bitch (Oh), hands on your knees (Oh)
Hands on your knees (Oh, bend it), hands on your knees (Oh)
Shake that ass for Drake (Uh), now shake that ass for me
Bend that ass over (Yeah), let that coochie breathe (Yeah)
Shake that ass, bitch (Yeah), hands on your knees (Hands on your)
Hands on your knees (Hands on your), hands on your knees (Yeah)
Shake that ass for Drake, now shake that ass for me (Shake, shake, shake)

[Verse 3: Sexyy Red]
You like my voice, I turn you on
Red weave, it match my thong
He heard about me, know my song
I drive him crazy, can't leave me 'lone
Foreign trucks, I pull up
Thirty inches to my butt
Nails done, I'm fine as fuck
Niggas tryna see what's up

[Bridge: Sexyy Red]
I'm lucky
I'm lucky
I'm lucky
I'm lucky

[Chorus: Sexyy Red]
Bend that ass over (Baow), let that coochie breathe (Yeah)
Shake that ass, bitch, hands on your knees (Ho)
Hands on your knees (Ho), hands on your knees (Now)
Shake that ass for Drake (Yup), now shake that ass for me
Bend that ass over (Baow), let that coochie breathe (Yeah)
Shake that ass, bitch, hands on your knees
Hands on your knees, hands on your knees
Shake that ass for Drake (Yeah), now shake that ass for me

[Part II]

[Verse: Drake]
You know the root of it
You know the lies and you know the truth of it
I see the future and I can see you in it
Girl, I'm not stupid, so don't pull no stupid shit
I swear, poppin' my shit come with consequences
Post nut clarity, I came to my senses
I knew it was love when it started as a friendship
Askin' 'bout a baby, we should probably get a Frenchie
And take care of the dog
Take care of the dog
Until the dog days are over
The dog days are done
And you know I'm the one, I'm the one
The dog days are over, dog days are done
And you know I'm—

[Outro: Drake]
We was fuckin' night after night, I'll change your life
You ain't even know how to suck it right, I taught you right
You ain't even heard of Grace Bay 'til I bought the flight
You ain't even know how cold you was 'til I bought you ice
You can't even look at him the same, we a different type
You just text me trippin', I reply, ""Have a safe flight""
Wanna stick around for the ride, baby, hol' on tight"
0AYt6NMyyLd0rLuvr0UkMH,Slime You Out (feat. SZA),"Drake, SZA",For All The Dogs,2023-10-06,11,"[Intro: Drake]
I don't know
I don't know what's wrong with you girls
I feel like y'all don't need love, you need somebody who could micromanage you
You know what I'm sayin'? Tell you right from wrong
Who's smart from who's the fool
Which utensil to use for which food, like
I got a schedule to attend to, though
I can't really...
(
6ix
)

[Verse 1: Drake]
You bitches really get carried away
Makin' mistakes, then you beg me to stay
Got me wiggin' on you like I'm Arrogant Tae
You got my mind in a terrible place
Whipped and chained you like American slaves
Act like you not used to Sheraton stays
I met the nigga you thought could replace
How were there even comparisons made?
Bitch, next time, I swear on my grandmother grave
I'm slimin' you for them kid choices you made

[Refrain: Drake]
Slimin' you out, slimin' you out, slimin' you out

[Verse 2: Drake]
Ayy, this ain't the littest I could get on you bitches
Send wires on wires on wires like Idris
You lucky that I don't take back what was given
I could have you on payment plan 'til you're hundred and fifty
And my slime right here, she got some bars for y'all niggas
So I'ma fall back and let SZA talk her shit for a minute

[Refrain: Drake]
Slimin' you out, slimin' you out, slime

[Verse 3: SZA]
Damn, these niggas got me so twisted
How the fuck you so real, but play bitch on my line?
I can feel what you're spinnin'
Got too much pride to let no burnt nigga slime me out
Pull up, go write about
My night, got time, let's discuss all those lies about
Frontin' out here like you diggin' me out
And I ain't even cummin', I'm in and out
And you ain't 'bout the shit you rappin' about
And I can spin a ho, I'm airin' it out
I'm goin' off like a sawed-off
You tell these hoes you ain't cuddlin'
But with me, you know you doin' all that shit
You tellin' these hoes you ain't trickin' off
But with me, you know I'm gon' get it all
How you niggas get so carried away?
Trippin' when that dick is barely third place
Fucked out of pity, it's cute that you lame
Dip 'cause it's mid, I can't fake like it's hangin'

[Refrain: SZA]
Slimin' you out, I'm slimin' you out, I'm slimin' you out
Oh-woah, woah

[Verse 4: Drake]
Yeah
January, you pretend to see life clearly, yearly
February is the time that you put the evil eye and the pride aside
For the fantasy of gettin' married, very scary
March got you already second guessin' titles
April, spring is here and just like a spring, you start to spiral
May brings some warmer days, poolside, gettin' very tan
June have you movin' ice cold, goin' back and forth with a married man
July, that's when I found out you lied
August, it was ""baby"" this, ""baby"" that like you had your tubes tied
September, we fallin' off, but I'm still the man you tryna win over
October is all about me 'cause your turn should've been over
November got you moodboardin' for next year and you're single
December the gift-givin' month and now you wanna rekindle our year
Tryna build trust, showin' me your DMs, how they tryna bag you
Ironic how the news I got about you ended up bein' bad news
Get a nigga hit for fifty racks, girl, the beef cost like it's wagyu
Get a nigga hit, I'll make his ass see the light like a half-moon
Shout to QC, pretty sure I made Pee M's like it's past noon
All I really know is W's and M's, life lookin' like a bathroom
All I really know is M bags like I drove through and ordered fast food
Sayin' that I'm too guarded with my feelings, who the fuck even asked you?
Seven bodyguards just in case somebody really wanna try and crash through
Don't know why I listen to you when I hear you talkin' to me, it's some half-truths
If I don't pay your rent, it end up like an old hairstyle, girl, it's past due
If I don't—

[Outro: Drake]
Ah-ah-ah, that's as far as I got"
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,Strangers,2023-09-01,52,"[Intro]
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh
Uh-huh, uh-huh

[Verse 1]
It always ends the same
When it was me and you
But every time I meet somebody new
It's like déjà vu (Déjà vu)
I swear they sound the same
It's like they know my skin
Every word they say sounds just like him
And it goes like this

[Chorus]
We'll get in your car and you'll lean to kiss me
We'll talk for hours and lie on the backseat
Uh-huh, uh-huh, uh
Uh-huh, uh-huh
And then one random night when everything changes
You won't reply and we'll go back to strangers
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh

[Post-Chorus]
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh
Uh-huh, uh-huh

[Verse 2]
It's something that I hate
How evеryone's disposable
Every timе I date somebody new
I feel vulnerable (Vulnerable)
That it'll never change
And it will just stay like this
Never endin' datin', breakin' up
And it goes like this

[Chorus]
We'll get in your car and you'll lean to kiss me
We'll talk for hours and lie on the backseat
Uh-huh, uh-huh, uh
Uh-huh, uh-huh
And then one random night when everything changes
You won't reply and we'll go back to strangers
Uh-huh, uh-huh, uh
Uh-huh, uh-huh

[Bridge]
It always ends the same
When it was me and you
But every time I meet somebody new
It's like déjà vu (It's like déjà vu)
And when we spoke for months
Well, did you ever mean it? (Did you ever mean it?)
How can we say that this is love
When it goes like this?

[Chorus]
We'll get in your car and you'll lean to kiss me
We'll talk for hours and lie on the backseat
Uh-huh, uh-huh, uh
Uh-huh, uh-huh
And then one random night when everything changes
You won't reply and we'll go back to strangers
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh (Go back to strangers)

[Post-Chorus]
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh (Go back to strangers)
Uh-huh, uh-huh, uh
Uh-huh, uh-huh (Go back to strangers)"
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,Stick Season,2022-10-14,413,"[Verse 1]
As you promised me that I was more than all the miles combined
You must've had yourself a change of heart like halfway through the drive
Because your voice trailed off exactly as you passed my exit sign
Kept on drivin' straight and left our future to the right
Now I am stuck between my anger and the blame that I can't face
And memories are somethin' even smoking weed does not replace
And I am terrified of weather 'cause I see you when it rains
Doc told me to travel, but there's Covid on the planes

[Chorus]
And I love Vermont, but it's the season of the sticks
And I saw your mom, she forgot that I existed
And it's half my fault, but I just like to play the victim
I'll drink alcohol 'til my friends come home for Christmas
And I'll dream each night of some version of you
That I might not have, but I did not lose
Now you're tire tracks and one pair of shoes
And I'm split in half, but that'll have to do

[Verse 2]
So I thought that if I piled something good on all my bad
That I could cancel out the darkness I inherited from Dad
No, I am no longer funny 'cause I miss the way you laugh
You once called me ""forever,"" now you still can't call me back

[Chorus]
And I love Vermont, but it's the season of the sticks
And I saw your mom, she forgot that I existed
And it's half my fault, but I just like to play the victim
I'll drink alcohol 'til my friends come home for Christmas
And I'll dream each night of some version of you
That I might not have, but I did not lose
Now you're tire tracks and one pair of shoes
And I'm split in half, but that'll have to do

[Bridge]
Oh, that'll have to do
My other half was you
I hope this pain's just passin' through
But I doubt it

[Chorus]
And I love Vermont, but it's the season of the sticks
And I saw your mom, she forgot that I existed
And it's half my fault, but I just like to play the victim
I'll drink alcohol 'til my friends come home for Christmas
And I'll dream each night of some version of you
That I might not have, but I did not lose
Now you're tire tracks and one pair of shoes
And I'm split in half, but that'll have to do
Have to do"
5PyDJG7SQRgWXefgexqIge,Agora Hills,Doja Cat,Scarlet,2023-09-20,150,"[Intro]
Ooh
Yeah, yeah

[Chorus]
Kissin' and hope they caught us (Ah)
Whether they like or not (Not)
I wanna show you off (Off)
I wanna show you off (Off)
I wanna brag about it (Yeah)
I wanna tie the knot (Knot)
I wanna show you off (Off)
I wanna show you off (Off)

[Post-Chorus]
I wanna show you (Off)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you (Yeah)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you

[Refrain]
Hold my hand
You can hit while they watch, boy

[Interlude]
So, 9:30? I'll see you there
No, you hang up, you hang up

[Verse 1]
Somethin' different about you
Love it when he hit and smack too
Baby, let me lick on your tattoos
That's true that I like PDA, take it to a seedy place
Suck a little dick in the bathroom
""Who that man with the big strong hands
On her ass in the club with the paps?"" Baby, that's you
Front-seat chillin' with the window down
I be ten toеs down on the dash, gettin' fast food
Hope you can handlе the heat, put your name in the streets
Get used to my fans lookin' at you
Fuck what they heard, I don't fuck with them birds
I'm a mean kitty, don't get stabbed with the rat tooth
Boys be mad that I don't fuck incels
Girls hate too, gun to their pigtail
I love you, I wanna big chill
Boy, don't trip, I'll split a big bill
Take you 'round the world, they don't have to understand
Rub it in their face, put a rock on her hand

[Interlude]
Baby, can you call me back? I miss you
It's so lonely in my mansion

[Chorus]
Kissin' and hope they caught us (Ah)
Whether they like or not (Not)
I wanna show you off (Off)
I wanna show you off (Off)
I wanna brag about it (Yeah)
I wanna tie the knot (Knot)
I wanna show you off (Off)
I wanna show you off (Off)

[Post-Chorus]
I wanna show you (Off)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you (Yeah)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you

[Refrain]
Hold my hand
You can hit while they watch, boy

[Interlude]
Ah, sorry, I was takin' a sip of my root beer

[Verse 2]
'Cause love is pain, but I need this shit (Yeah)
We fuck too good when the bean kicks in
Like Fortnite, I'ma need your skin (Yeah)
Don't give a fuck where the penis been (Uh)
Boy, you're the one, you're the only man
Me and you on my OnlyFans
Holy cow, you're the Holy Trin'
Hold me down when a hole need dick
Be my security, it's your therapy
With you, I ain't holding shit back
When I need my space, you give that
When he broke my heart, you fixed that
With a long walk on the beach
Love it when they honk-honk on the street (Beep)
When they see us zoom by in the Jeep (Yeah)
We a whole damn joint, we a energy
Baby, we could just ride on our enemies
They all wanna know how you get to me
Let 'em feel how they feel and be Philistines
'Cause this type of love's the epitome, said

[Interlude]
Baby, you're literally capping to me right now
Like why are you capping me?
You just cap so hard, it's— I don't know what to do

[Chorus]
Kissin' and hope they caught us (Ah)
Whether they like or not (Not)
I wanna show you off (Off)
I wanna show you off (Off)
I wanna brag about it (Yeah)
I wanna tie the knot (Knot)
I wanna show you off (Off)
I wanna show you off (Off)

[Post-Chorus]
I wanna show you (Off)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you (Yeah)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you

[Refrain]
Hold my hand
You can hit while they watch, boy"
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,GUTS,2023-09-08,150,"[Verse 1]
Hate to give the satisfaction asking how you're doing now
How's the castle built off people you pretend to care about?
Just what you wanted
Look at you, cool guy, you got it
I see the parties and the diamonds sometimes when I close my eyes
Six months of torture you sold as some forbidden paradise
I loved you truly
You gotta laugh at the stupidity

[Chorus]
'Cause I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naive
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, fame fucker
Bleedin' me dry like a goddamn vampire

[Verse 2]
And every girl I ever talked to told me you were bad, bad news
You called them crazy, God, I hate the way I called 'em crazy too
You're so convincing
How do you lie without flinching? (How do you lie? How do you lie? How do you lie?)
Ooh, what a mesmerizing, paralyzing, fucked up little thrill
Can't figure out just how you do it and God knows I never will
Went for me and not her
'Cause girls your age know better

[Chorus]
I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naive
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, fame fucker
Bleedin' me dry like a goddamn vampire

[Bridge]
(Ah)
You said it was true love, but wouldn't that be hard?
You can't love anyone 'cause that would mean you had a heart
I tried to help you out, now I know that I can't
'Cause how you think's the kind of thing I'll never understand

[Chorus]
I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naive
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, fame fucker
Bleedin' me dry like a goddamn vampire"
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,Something in the Orange,2022-04-22,387,"[Verse 1]
It'll be fine by dusk light, I'm tellin' you, baby
These things eat at your bones and drive your young mind crazy
But when you place your head between my collar and jaw
I don't know much, but there's no weight at all

[Verse 2]
And I'm damned if I do and I'm damned if I don't
'Cause if I say I miss you, I know that you won't
But I miss you in the mornings when I see the sun
Somethin' in the orange tells me we're not done

[Chorus]
To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home

[Verse 3]
I need to hear you say you've been waitin' all night
There's orange dancin' in your eyes from bulb light
Your voice only trembles when you try to speak
Take me back to us dancin', this wood used to creak

[Chorus]
To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home

[Chorus]
To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home
If you leave today, I'll just stare at the way
The orange touches all things around
The grass, trees, and dew, how I just hate you
Please turn those headlights around
Please turn those headlights around"
3eP13S8D5m2cweMEg3ZDed,Virginia Beach,Drake,For All The Dogs,2023-10-06,17,"[Intro: Drake & 
Frank Ocean
]
I bet your mother would be proud of you, ooh
 (
You, you, you, oh
)
I bet our mother would be proud of you, oh
I know what you say
You say I coulda treated you better or whatever, but
I don't know, I think I did alright
Know what I'm sayin'?
And you know how you get
Drawin' conclusions like you got a Parsons degree or somethin'
I coulda treated you better, that's crazy
Nope

[Chorus: Drake]
Lean in, lean in soda, Fanta, fantasizin'
That's not love you're in, it's more like compromisin'
I move mountains for you, fuck that social climbin'
Lean into me, lean into me
Yeah, lean in, lean into me

[Verse 1: Drake]
Pussy, it makin' me tweak, ended up stayin' a week
She pretty but ghetto, pretty but rough, just like Virginia Beach
I wanna get back to the days that you loved me for nothin' but what you could see
You bust down the Jubilee, I swapped it and made you go factory, wait
You put some pain in me, I wanna get back to the major league
She wanna grab on the throttle, I wanna get back in the driver's seat
That nigga spent his last check on your car and you got it and drove it to me
Asked me if I coulda treated you better, but no

[Chorus: Drake]
Lean in soda, Fanta, fantasizin'
That's not love you're in, it's more like compromisin'
I move mountains for you, fuck that social climbin'
Lean into me, lean into me
Lean in, lean into me

[Break: Drake]
Yeah, yeah
Yeah
Grr, grr
Yeah

[Verse 2: Drake]
Our texts feelin' like a fencin' match, your temper shorter and I'm sensin' that
You keep talkin' 'bout some, ""Period,"" but where you 'bout to end the sentence at?
'Cause you been goin' off on my ass, then I tell your ass where I'm at
And you act like I'm not supposed to mention that
I introduce you to my friends' girlfriends, you ain't interested in makin' friends
Talkin' 'bout you wanna cook for a nigga in the kitchen, can you make amends?
Least we know you got the cakes on you, girl, you should prolly stick to bakin' then
Birkin is croc like the rubber shoe, I swear that I'm not tryna smother you
I got to know a whole other you, but let's not forget how I discovered you
We ain't even gotta mention that, any nigga try and trouble you
He gon' find out that it's on-site like W-W-W
On site like dot-com, put a baby in you, you a hot mom
Yeah, ask me if I coulda treated you better, but no
Not at all, not at all

[Outro: 
Frank Ocean
]
I bet our mother would be proud of you, ooh
 (
Mother would be proud
)"
